code	urn	db_name	phase_name	lat	lon	status	note
2000	138774	John Henry Newman Academy	Primary	51.71940085636288	-1.2213388679447172	done	done via raster-boundary + landmark-pair scaling, 2026-08-10 session - see commit history for the exact landmark pair used
2003	138501	Dashwood Banbury Academy	Primary	52.06158925826425	-1.3229061756278728	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
2004	139064	Cutteslowe Primary School	Primary	51.787361310437724	-1.2610534387784913	done	done via raster-boundary + landmark-pair scaling, 2026-08-10 session - see commit history for the exact landmark pair used
2010	140556	St Christopher's Church of England School, Cowley	Primary	51.736467640473116	-1.213428386134145	done	done via raster-boundary + landmark-pair scaling, 2026-08-10 session - see commit history for the exact landmark pair used
2011	140652	Aureus Primary School	Primary	51.6016102657728	-1.2640712991163094	done	done 2026-08-10 (later session): found a genuinely different PDF resource at the same code slot - not the standard council "Location and Designated Area" template but a GLF Trust-branded "AUREUS SCHOOL Catchment Area Map" (Google-Maps-style basemap, single shared red boundary covering both Aureus School and Aureus Primary School, Great Western Park estate, Didcot). Landmark-paired on the A4130/B4493 roundabout (Overpass, averaged across 8 roundabout-way nodes) + Aureus School's own real DB coordinate/icon (1745px/1404m baseline), rotation -4.13deg. Cross-checked against Aureus Primary's own icon/DB coordinate (independent third point): -3.85deg bearing residual, 0.933 distance ratio. Both schools' real DB coordinates fall inside the extracted polygon (raster red-colour-mask extraction, same technique as the raster-boundary batch). Area 1.30km2 - plausible for a compact new-estate priority area, not a full LA-wide secondary catchment. Same source PDF also resolves Aureus School (Secondary, URN 140653, see code 4004 below) - both landed from one digitisation.
2012	140688	Didcot Primary Academy	Primary	51.605944710507174	-1.2684776256488215	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
2019	142409	William Morris Primary School	Primary	52.06739540928769	-1.3645699634902546	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
2020	143951	New Marston Primary School	Primary	51.76884859214168	-1.2275026622772853	declined_or_open	New Marston Primary - bearing residual passed (2.1deg) but distance ratio off by ~58%, correctly declined
2023	146278	Rose Hill Primary School	Primary	51.72599989544546	-1.2321855167269868	done	done via raster-boundary + landmark-pair scaling, 2026-08-10 session - see commit history for the exact landmark pair used
2025	146381	Windale Primary School	Primary	51.71727451121856	-1.1992714331180636	done	done via raster-boundary + landmark-pair scaling, 2026-08-10 session - see commit history for the exact landmark pair used
2031	147641	Blewbury Church of England Primary School	Primary	51.5710796604596	-1.2380006366910268	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
2033	147839	Wantage Primary Academy	Primary	51.59673354077192	-1.404665015195458	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
2034	147865	Barton Park Primary School	Primary	51.77026387967463	-1.2091167076291653	fake_grid_confirmed	fake_grid_confirmed - attempted 2026-08-10: this school's PDF uses a COMPLETELY DIFFERENT template from the rest of this batch - a B&W OS 1:1250 topo map ('Proposed designated (catchment) area for Barton Park Primary School from 1 September 2020') with a RED (not blue) boundary line, faint OS grid tick-marks visible but no drawn school marker/icon at all (likely because Barton Park was a new school not yet built when this PDF was generated) - needs its own approach (e.g. grid-tick georeferencing) rather than the blue-marker landmark-pair method; not attempted further this session
2035	147898	St John's Catholic Primary School	Primary	52.050416992940754	-1.3297684676102752	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
2036	147909	Cherry Fields Primary School	Primary	52.08539670842202	-1.335549432111059	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
2037	148247	St Frideswide Church of England Primary School	Primary	51.738643663326485	-1.2270039081945388	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
2038	148570	Windrush Church of England Primary School	Primary	51.78225432072899	-1.5217036340975025	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
2039	149405	St Laurence Church of England School	Primary	51.63533822210486	-1.1373687986570458	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
2040	149696	Sires Hill Primary Academy	Primary	51.62027748427594	-1.2319193834931996	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
2041	149750	Graven Hill Primary School	Primary	51.88394213176523	-1.1477151680569873	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
2042	150303	Cropredy Church of England Primary School	Primary	52.11088954586726	-1.3205098260865369	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
2043	150408	Long Wittenham (Church of England) Primary School	Primary	51.641659272487914	-1.2102426236496466	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
2044	150512	Carterton Primary School	Primary	51.762568589166065	-1.5948090812977864	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
2053	139298	Harriers Banbury Academy	Primary	52.056185173284874	-1.341845740811162	no_catchment_pdf	own admission authority (academy/VA) - council profile page has no Catchment areas PDF link at all, checked 2026-08-09
2055	122994	Orchard Fields Community School	Primary	52.05932420292647	-1.3567352945114561	done	done via raster-boundary + landmark-pair scaling, 2026-08-10 session - see commit history for the exact landmark pair used
2057	122996	Queensway School	Primary	52.0548874375024	-1.3510236628401373	done	done via raster-boundary + landmark-pair scaling, 2026-08-10 session - see commit history for the exact landmark pair used
2058	122997	The Grange Community Primary School	Primary	52.0494407543961	-1.3320141765459395	fake_grid_confirmed	re-attempted 2026-08-10 (fake-grid backlog session): explored the 'Dismantled Railway'/Spital Farm area suggested by the prior session's note, but Spital Farm has no Nominatim hit and the Dismantled Railway is a long linear feature with no clean point landmark on it. Found a real, clearly-drawn roundabout at the bottom of the map (Maple Close/Willow Road junction with the main A-road, pixel ~(408,1287) on this file) but could not identify it in OSM - several Overpass junction=roundabout bbox searches around the estimated real-world location (52.02-52.04 lat) came back empty or (for the Chatsworth Drive-area roundabout further north) matched the already-ruled-out under-800m roundabout from the prior session. No second unlabeled 'School' building on this map matched any Oxfordshire DB school within a plausible bounding box either (may belong to a neighbouring LA/be a nursery not in this project's schools table). Left undone; needs either a named-road geocode for the bottom roundabout (e.g. by reading the A-road number directly off a wider crop) or a completely different landmark idea next session
2060	146810	Hardwick Primary School and Nursery	Primary	52.074056224703824	-1.3560421867214933	done	done via long-baseline landmark-pair scaling, 2026-08-10 session - "The Nutshell" roundabout (geocoded via the connecting "Ribston Close" road label, since the local nickname itself has no Nominatim/Overpass hit) + Lord Fielding Close roundabout, 2551px/1188m baseline, rotation -3.82deg, DB coord cross-check 0.47deg/1.086 ratio (source PDF itself titles the school "Hardwick Community School" - cosmetic mismatch only, URN match is exact)
2207	123008	Longfields Primary and Nursery School	Primary	51.90112706585732	-1.1468813846072052	done	done via raster-boundary + landmark-pair scaling, 2026-08-10 session - see commit history for the exact landmark pair used
2211	141051	Glory Farm Primary School	Primary	51.909723405888904	-1.1420520933203293	done	done via raster-boundary + landmark-pair scaling, 2026-08-10 session - see commit history for the exact landmark pair used
2255	144185	Edith Moorhouse Primary School	Primary	51.75821629697762	-1.602541275709043	done	done via long-baseline landmark-pair scaling, 2026-08-10 session (fake-grid backlog batch): St John the Evangelist CofE VA Primary School + Gateway Primary School (both own real DB coordinates, 1434px/1373m baseline), rotation 5.20deg, own marker/DB coord cross-check 4.17deg/0.974 ratio, independently confirmed by a second cross-check against Carterton Primary School's real DB coordinate (-0.75deg/0.939 ratio)
2352	123021	St Nicholas' Primary and Nursery School	Primary	51.77137663386472	-1.2387638156761793	done	done via long-baseline landmark-pair scaling, 2026-08-10 session (fake-grid backlog batch): Cherwell Bridge + Wolfson College building footprint (1590px/1657m baseline), rotation 0.06deg, own marker/DB coord cross-check 0.14deg/0.999 ratio - an exceptionally clean result
2450	123028	RAF Benson Community Primary School	Primary	51.613410452880004	-1.0808090513820279	done	Landed 2026-08-09 (second landmark-pair session): anchored on own marker + Ewelme CofE Primary's real DB coordinate (920m baseline), cross-checked against a Newnham Gifford roundabout (2.46km baseline, OSM) - 3.98deg residual, 0.924 dist ratio
2456	123031	Tetsworth Primary School	Primary	51.7099787281554	-1.0056768399444938	declined_or_open	Tetsworth Primary - attempted 2026-08-09, Rycote Lane/Attington Toll House landmark pair gave 36deg bearing residual, needs a better anchor next session
2512	123041	Valley Road School	Primary	51.53036200868495	-0.920126549808635	done	done via long-baseline landmark-pair scaling, 2026-08-10 session (fake-grid backlog batch): Rupert House School + Gillotts School (both own real DB coordinates, 1947px/2123m baseline), rotation 13.85deg (this file's page itself is rotated relative to true north, unlike most other Oxfordshire files - internal consistency is what matters), own marker/DB coord cross-check -3.11deg/0.915 ratio - RED boundary/marker template (title reads 'new designated area...from 1 September 2020', a third sub-template variant)
2525	123046	East Oxford Primary School	Primary	51.74885144398218	-1.2356658789548196	done	done via raster-boundary + landmark-pair scaling, 2026-08-10 session - see commit history for the exact landmark pair used
2527	123047	Windmill Primary School	Primary	51.75638469766363	-1.2069396322640664	declined_or_open	Windmill Primary - attempted 2026-08-09 (second session): Green Road Roundabout (Headington, Nominatim) anchor gave 5.18deg rotation (borderline), cross-check against an unconfirmed unnamed 'Sch' icon (likely St Andrew's CoE Oxford) gave 12.7deg residual/0.85 dist ratio - not trusted, needs a better-identified cross-check landmark next session, not the same unnamed icon
